Time Stamps (s),Values,Labels,punc,dvop_next,dvop_prev,dx_next,dx_prev,dy_next,dy_prev,delta_next,delta_prev
0.535,0.0,M, ,0.15681,0.005199999999999982,0.15999999999999992,1.0,0.0,0.0,0.0,0.0
0.695,0.0,M, ,0.06879000000000002,0.003189999999999915,0.20000000000000007,0.15999999999999992,-1.0,0.0,-4.999999999999998,0.0
0.895,-1.0,L, ,0.13139999999999996,0.003929999999999989,0.1299999999999999,0.20000000000000007,0.0,-1.0,0.0,-4.999999999999998
1.025,-1.0,L, ,0.0014000000000000679,0.13392999999999988,0.22999999999999998,0.1299999999999999,0.0,0.0,0.0,0.0
1.255,-1.0,L, ,0.1129,0.0005999999999999339,0.1200000000000001,0.22999999999999998,1.5,0.0,12.49999999999999,0.0
1.375,0.5,M-H, ,0.9232999999999998,0.007100000000000106,1.04,0.1200000000000001,-0.5,1.5,-0.4807692307692307,12.49999999999999
2.415,0.0,M,!,0.06230000000000002,0.0777000000000001,0.06499999999999995,1.04,1.0,-0.5,15.384615384615397,-0.4807692307692307
2.48,1.0,H, ,0.04789999999999983,0.0026999999999999247,0.04999999999999982,0.06499999999999995,-0.5,1.0,-10.000000000000036,15.384615384615397
2.53,0.5,H-M, ,0.3531000000000004,0.0020999999999999908,0.3650000000000002,0.04999999999999982,-0.5,-0.5,-1.3698630136986294,-10.000000000000036
2.895,0.0,M, ,0.3248000000000002,0.0118999999999998,0.23499999999999988,0.3650000000000002,0.0,-0.5,0.0,-1.3698630136986294
3.13,0.0,M, ,0.08980000000000032,0.24689999999999968,0.16000000000000014,0.23499999999999988,0.0,0.0,0.0,0.0
3.29,0.0,M, ,0.1701999999999999,0.029100000000000126,0.16999999999999993,0.16000000000000014,0.0,0.0,0.0,0.0
3.46,0.0,M, ,0.00019999999999997797,0.19910000000000005,0.06499999999999995,0.16999999999999993,0.0,0.0,0.0,0.0
3.525,0.0,M, ,0.0024000000000001798,0.06479999999999997,0.08000000000000007,0.06499999999999995,0.0,0.0,0.0,0.0
3.605,0.0,M, ,0.0007999999999999119,0.01949999999999985,0.16500000000000004,0.08000000000000007,-0.5,0.0,-3.03030303030303,0.0
3.77,-0.5,M-L, ,0.06689999999999996,0.011200000000000099,0.6999999999999997,0.16500000000000004,0.5,-0.5,0.7142857142857145,-3.03030303030303
4.47,0.0,M, ,0.07250000000000068,0.6330999999999998,0.08499999999999996,0.6999999999999997,0.0,0.5,0.0,0.7142857142857145
4.555,0.0,M, ,0.17070000000000007,0.01249999999999929,0.16999999999999993,0.08499999999999996,1.0,0.0,5.882352941176473,0.0
4.725,1.0,H, ,0.000700000000000145,0.18249999999999922,0.15500000000000025,0.16999999999999993,-1.0,1.0,-6.451612903225796,5.882352941176473
4.88,0.0,M, ,0.004400000000000404,0.04800000000000004,0.10500000000000043,0.15500000000000025,0.0,-1.0,0.0,-6.451612903225796
4.985,0.0,M, ,0.04749999999999943,0.0038000000000000256,0.04999999999999982,0.10500000000000043,0.0,0.0,0.0,0.0
5.035,0.0,M, ,0.11690000000000023,0.002500000000000391,0.16500000000000004,0.04999999999999982,0.0,0.0,0.0,0.0
5.2,0.0,M, ,0.14199999999999946,0.0019999999999997797,0.16500000000000004,0.16500000000000004,-1.0,0.0,-6.06060606060606,0.0
5.365,-1.0,L, ,0.20800000000000018,0.023000000000000576,0.08499999999999996,0.16500000000000004,0.0,-1.0,0.0,-6.06060606060606
