rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.821	0.8210997732426306	0.9010997732426307	101	116	110	110	81.48	110	110	110	110	81.51	0	0	0	0	0	0	0	45	45	0	0.08000000000000007	0	0	0	0.8211	0	80.5	0	1	0	1	0	0.22999999999999998
1.051	1.0510997732426306	1.1460997732426286	100	104	101	102	80.15	101	101	101	101	79.98	0	0	-1.4	0	0	0	0	36	36	0	0.09499999999999797	0	0	0	0.15	0	79.4	0	1	0	0	0	0.1499999999999999
1.201	1.2010997732426305	1.2660997732426291	91	114	103	103	80.33	103	103	103	103	80.37	0	0	0.47	0	0	0	0	38	38	0	0.06499999999999861	0	0	0	0.055	0	80.6	0	1	0	0	0	0.08499999999999996
1.286	1.2860997732426305	1.3410997732426293	85	89	87	87	77.36	87	87	87	87	77.38	0	0	-2.86	0	0	0	0	19	19	0	0.05499999999999883	0	0	0	0.02	0	78.5	0	1	0	0	0	0.19500000000000006
1.481	1.4810997732426305	1.5160997732426298	86	108	94	97	79.24	94	94	94	94	78.75	0	0	1.44	0	0	0	0	28	28	0	0.034999999999999254	0	0	0	0.14	0	77.2	0	1	0	0	0	0.09999999999999987
1.581	1.5810997732426304	1.6110997732426298	97	105	104	102	80.18	104	104	104	104	80.43	0	0	1.77	0	0	0	0	39	39	0	0.02999999999999936	0	0	0	0.065	0	79.1	0	1	0	0	0	0.33000000000000007
1.911	1.9110997732426305	1.9960997732426287	79	93	86	86	77.13	86	86	86	86	77.29	0	0	-3.12	0	0	0	0	18	18	0	0.08499999999999819	0	0	0	0.3	0	77.1	0	1	0	0	0	0.1200000000000001
2.031	2.0310997732426306	2.146099773242628	128	232	203	192	91.03	128	232	128	232	94.34	1	9.63	6.92	9.63	0	9.63	0	62	100	66	0.11499999999999755	0	0	0	0.035	0	77.6	0	1	1	0	0.84	0.11499999999999755
2.986	2.9860997732426307	3.0410997732426295	100	104	103	102	80.2	103	103	103	103	80.39	0	0	-13.91	0	0	0	0	38	38	0	0.05499999999999883	0	0	0	0.84	0	80.5	0	1	0	1	0	0.08499999999999996
3.071	3.0710997732426306	3.10609977324263	104	108	105	106	80.78	105	105	105	105	80.72	0	0	0.48	0	0	0	0	40	40	0	0.034999999999999254	0	0	0	0.03	0	80.3	0	1	0	0	0	0.19999999999999973
3.271	3.2710997732426303	3.3010997732426297	83	96	89	87	77.46	89	89	89	89	77.78	0	0	-2.79	0	0	0	0	21	21	0	0.02999999999999936	0	0	0	0.165	0	75.3	0	1	1	0	1.485	0.02999999999999936
4.786	4.786099773242631	4.84609977324263	139	147	145	144	86.15	145	145	145	145	86.22	0	0	8.51	0	0	0	0	76	76	0	0.05999999999999872	0	0	0	1.485	0	83.4	0	1	0	1	0	0.13999999999999968
4.926	4.926099773242631	4.981099773242629	144	179	163	161	88.04	163	163	163	163	88.19	0	0	2.03	0	0	0	0	89	89	0	0.05499999999999883	0	0	0	0.08	0	81.2	0	1	0	0	0	0.11000000000000032
5.036	5.036099773242631	5.116099773242629	128	142	131	133	84.72	131	131	131	131	84.52	0	0	-3.66	0	0	0	0	65	65	0	0.0799999999999983	0	0	0	0.055	0	81.9	0	1	0	0	0	0.20000000000000018
5.236	5.236099773242631	5.29609977324263	93	115	108	106	80.83	108	108	108	108	81.14	0	0	-3.26	0	0	0	0	43	43	0	0.05999999999999872	0	0	0	0.12	0	80.5	0	1	0	0	0	0.1299999999999999
5.366	5.366099773242631	5.41609977324263	90	95	93	93	78.64	93	93	93	93	78.65	0	0	-2.41	0	0	0	0	26	26	0	0.049999999999998934	0	0	0	0.07	0	77.4	0	1	0	0	0	0.07500000000000018
5.441	5.441099773242631	5.50109977324263	91	99	93	93	78.64	93	93	93	93	78.52	0	0	0.05	0	0	0	0	26	26	0	0.05999999999999872	0	0	0	0.025	0	77.3	0	1	0	0	0	0.1899999999999995
5.631	5.631099773242631	5.706099773242629	86	100	90	91	78.13	90	90	90	90	77.95	0	0	-0.52	0	0	0	0	23	23	0	0.0749999999999984	0	0	0	0.13	0	76.1	0	1	0	0	0	0.11500000000000021
5.746	5.746099773242631	5.816099773242629	71	97	85	83	76.62	97	71	71	97	79.34	-1	-5.32	1.44	0	-5.32	5.32	0	31	0	-35	0.06999999999999851	0	0	0	0.04	0	75.1	0	1	0	0	0	0.14500000000000046
5.891	5.891099773242631	5.906099773242631	79	85	81	80	76.05	81	81	81	81	76.09	0	0	2.29	0	0	0	1	11	11	0	0.01499999999999968	0	0	0	0.075	0	63.4	0	1	1	0	0.72	0.01499999999999968
6.626	6.626099773242631	6.721099773242629	86	117	94	96	79.07	117	86	86	117	82.48	-1	-5.29	6.4	0	-5.29	5.29	0	52	18	-35	0.09499999999999797	0	0	0	0.72	0	68.3	0	1	0	1	0	0.20000000000000018
6.826	6.826099773242631	6.88109977324263	134	143	142	140	85.67	142	142	142	142	85.82	0	0	8.7	0	0	0	0	74	74	0	0.05499999999999883	0	0	0	0.105	0	81.3	0	1	0	0	0	0.15500000000000025
