rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.136	0.1362755102040812	0.21627551020408128	101	110	109	108	81.19	109	109	109	109	81.32	0	0	0	0	0	0	0	44	44	0	0.08000000000000007	0	0	0	0.1363	0	78.4	0	1	0	0	0	0.155
0.291	0.2912755102040812	0.3712755102040813	85	94	88	89	77.73	88	88	88	88	77.57	0	0	-3.65	0	0	0	0	19	19	0	0.08000000000000007	0	0	0	0.075	0	76.9	0	1	0	0	0	0.185
0.476	0.4762755102040812	0.5012755102040812	98	99	99	99	79.6	99	99	99	99	79.61	0	0	2.09	0	0	0	0	33	33	0	0.025000000000000022	0	0	0	0.105	0	76.3	0	1	0	0	0	0.04999999999999993
0.526	0.5262755102040811	0.5662755102040812	91	99	96	96	79.05	96	96	96	96	79.06	0	0	-0.5	0	0	0	0	29	29	0	0.040000000000000036	0	0	0	0.025	0	75.7	0	1	0	0	0	0.12
0.646	0.6462755102040811	0.6912755102040812	92	97	97	95	78.98	97	97	97	97	79.21	0	0	0.19	0	0	0	0	31	31	0	0.04500000000000004	0	0	0	0.08	0	76.6	0	1	0	0	0	0.1150000000000001
0.761	0.7612755102040812	0.8312755102040813	76	91	85	84	76.9	85	85	85	85	76.97	0	0	-2.23	0	0	0	0	15	15	0	0.07000000000000006	0	0	0	0.07	0	72.3	0	1	0	0	0	0.11999999999999988
0.881	0.8812755102040811	0.9462755102040812	84	85	85	85	76.92	85	85	85	85	76.92	0	0	0.005	0	0	0	0	15	15	0	0.06500000000000006	0	0	0	0.05	0	73	0	1	0	0	0	0.13
1.011	1.0112755102040811	1.111275510204079	90	93	92	92	78.41	92	92	92	92	78.42	0	0	1.51	0	0	0	0	24	24	0	0.09999999999999787	0	0	0	0.065	0	74.6	0	1	0	0	0	0.11499999999999999
1.126	1.1262755102040811	1.2162755102040792	89	94	91	92	78.29	91	91	91	91	78.28	0	0	-0.007	0	0	0	0	23	23	0	0.08999999999999808	0	0	0	0.015	0	73.4	0	1	0	0	0	0.11499999999999999
1.241	1.2412755102040811	1.2812755102040803	89	95	91	91	78.19	91	91	91	91	78.12	0	0	0.02	0	0	0	0	23	23	0	0.03999999999999915	0	0	0	0.025	0	71.9	0	1	0	0	0	0.09999999999999987
1.341	1.341275510204081	1.3662755102040804	71	83	77	77	75.23	77	77	77	77	75.39	0	0	-2.7	0	0	0	0	4	4	0	0.024999999999999467	0	0	0	0.06	0	68.8	0	1	0	0	0	0.05500000000000016
1.396	1.3962755102040811	1.4312755102040804	85	92	92	91	78.17	92	92	92	92	78.29	0	0	3.09	0	0	0	0	24	24	0	0.034999999999999254	0	0	0	0.03	0	72.9	0	1	0	0	0	0.21499999999999986
1.611	1.611275510204081	1.6662755102040798	85	92	88	88	77.61	88	88	88	88	77.66	0	0	-0.62	0	0	0	0	19	19	0	0.05499999999999883	0	0	0	0.18	0	74.1	0	1	0	0	0	0.14000000000000012
1.751	1.7512755102040811	1.7762755102040806	94	118	113	108	81.17	113	113	113	113	81.95	0	0	4.43	0	0	0	0	48	48	0	0.024999999999999467	0	0	0	0.085	0	74.3	0	1	0	0	0	0.050000000000000044
1.801	1.8012755102040812	1.85627551020408	96	98	97	97	79.32	97	97	97	97	79.34	0	0	-2.51	0	0	0	0	31	31	0	0.05499999999999883	0	0	0	0.025	0	74.9	0	1	0	0	0	0.1299999999999999
1.931	1.931275510204081	2.036275510204079	144	224	191	191	90.96	144	221	144	221	93.47	1	7.37	6.9	7.37	0	7.37	0	77	100	50	0.10499999999999776	0	0	0	0.075	0	76.5	0	1	1	0	0.695	0.10499999999999776
2.731	2.731275510204081	2.77627551020408	83	90	87	86	77.28	87	87	87	87	77.43	0	0	-16.02	0	0	0	0	18	18	0	0.04499999999999904	0	0	0	0.695	0	67.1	0	1	0	1	0	0.15000000000000036
2.881	2.8812755102040812	2.9662755102040794	129	149	139	140	85.56	139	139	139	139	85.48	0	0	8.17	0	0	0	0	73	73	0	0.08499999999999819	0	0	0	0.105	0	79.8	0	1	0	0	0	0.09999999999999964
