rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.587	0.5867176870748292	0.6317176870748292	117	120	120	119	82.82	120	120	120	120	82.9	0	0	0	0	0	0	0	46	46	0	0.04500000000000004	0	0	0	0.5867	0	76.5	0	1	0	1	0	0.09499999999999997
0.682	0.6817176870748292	0.7417176870748292	113	120	118	117	82.56	118	118	118	118	82.7	0	0	-0.18	0	0	0	0	44	44	0	0.06000000000000005	0	0	0	0.05	0	73.9	0	1	0	0	0	0.18499999999999994
0.867	0.8667176870748291	0.9517176870748292	109	111	110	110	81.51	110	110	110	110	81.51	0	0	-1.08	0	0	0	0	35	35	0	0.08500000000000008	0	0	0	0.125	0	75.9	0	1	0	0	0	0.1050000000000001
0.972	0.9717176870748292	1.0517176870748282	102	112	109	108	81.14	109	109	109	109	81.27	0	0	-0.11	0	0	0	0	34	34	0	0.07999999999999896	0	0	0	0.02	0	72.4	0	1	0	0	0	0.20999999999999996
1.182	1.1817176870748292	1.2067176870748286	105	109	108	107	81	108	108	108	108	81.07	0	0	-0.15	0	0	0	0	33	33	0	0.024999999999999467	0	0	0	0.13	0	76.3	0	1	0	0	0	0.04499999999999993
1.227	1.226717687074829	1.2967176870748276	109	111	110	110	81.47	110	110	110	110	81.49	0	0	0.43	0	0	0	0	35	35	0	0.06999999999999851	0	0	0	0.02	0	73.6	0	1	0	0	0	0.14500000000000002
1.372	1.371717687074829	1.4967176870748264	109	117	115	114	82.04	115	115	115	115	82.23	0	0	0.86	0	0	0	0	40	40	0	0.12499999999999734	0	0	0	0.075	0	78.6	0	1	0	0	0	0.14500000000000002
1.517	1.5167176870748291	1.5617176870748282	112	119	116	115	82.29	116	116	116	116	82.3	0	0	0.15	0	0	0	0	41	41	0	0.04499999999999904	0	0	0	0.02	0	74.1	0	1	0	0	0	0.1299999999999999
1.647	1.646717687074829	1.7067176870748277	118	121	120	120	82.94	120	120	120	120	82.97	0	0	0.67	0	0	0	0	46	46	0	0.05999999999999872	0	0	0	0.085	0	76.3	0	1	0	0	0	0.13000000000000012
1.777	1.7767176870748291	1.9067176870748264	133	166	149	151	86.88	133	166	133	166	88.52	1	3.85	1.79	3.85	0	3.85	0	59	86	27	0.12999999999999723	0	0	0	0.07	0	72.3	0	1	1	0	0.84	0.12999999999999723
2.747	2.746717687074829	2.876717687074826	110	120	116	116	82.33	116	116	116	116	82.43	0	0	-6.07	0	0	0	0	41	41	0	0.12999999999999723	0	0	0	0.84	0	75.7	0	1	0	1	0	0.33000000000000007
3.077	3.076717687074829	3.1817176870748267	95	125	108	108	81.09	125	95	95	125	83.61	-1	-4.62	1.31	0	-4.62	4.62	0	51	16	-35	0.10499999999999776	0	0	0	0.2	0	80.2	0	1	1	0	1.11	0.10499999999999776
