rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	hesitation	speaker_id	before_pause	after_pause	pause_dur	iso_dur
0.207	0.20666666666666503	0.27166666666666506	110	119	114	115	82.18	114	114	114	114	82.13	0	0	0	0	0	0	0	49	49	0	0.06500000000000003	0	0	0	0.2067	0	80	0	1	0	0	0	0.17500000000000002
0.382	0.38166666666666504	0.4166666666666651	96	116	109	108	81.21	109	109	109	109	81.31	0	0	-0.69	0	0	0	0	44	44	0	0.03500000000000003	0	0	0	0.11	0	79.5	0	1	0	0	0	0.08499999999999996
0.467	0.466666666666665	0.501666666666665	94	112	102	102	80.18	102	102	102	102	80.15	0	0	-1.07	0	0	0	0	36	36	0	0.03500000000000003	0	0	0	0.05	0	77.3	0	1	0	0	0	0.10999999999999999
0.577	0.576666666666665	0.606666666666665	98	99	99	99	79.58	99	99	99	99	79.6	0	0	-0.47	0	0	0	0	33	33	0	0.030000000000000027	0	0	0	0.075	0	76.4	0	1	0	0	0	0.125
0.702	0.701666666666665	0.731666666666665	92	116	113	108	81.15	113	113	113	113	81.93	0	0	2.38	0	0	0	0	48	48	0	0.030000000000000027	0	0	0	0.095	0	76.9	0	1	0	0	0	0.20500000000000007
0.907	0.9066666666666651	0.9766666666666651	84	95	88	87	77.5	88	88	88	88	77.66	0	0	-4.18	0	0	0	0	20	20	0	0.07000000000000006	0	0	0	0.175	0	74.8	0	1	0	0	0	0.10999999999999976
1.017	1.0166666666666648	1.1216666666666626	130	242	194	193	91.11	130	242	130	242	95.07	1	9.14	6.88	9.14	0	9.14	0	63	100	68	0.10499999999999776	0	0	0	0.04	0	77.7	0	1	1	0	0.71	0.10499999999999776
1.832	1.8316666666666648	1.9266666666666628	122	145	134	134	84.92	134	134	134	134	84.89	0	0	-10.14	0	0	0	0	66	66	0	0.09499999999999797	0	0	0	0.71	0	80.1	0	1	0	1	0	0.16000000000000014
1.992	1.991666666666665	2.036666666666664	127	144	136	137	85.2	136	136	136	136	85.12	0	0	0.33	0	0	0	0	68	68	0	0.04499999999999904	0	0	0	0.065	0	81	0	1	0	0	0	0.10499999999999998
2.097	2.096666666666665	2.2116666666666625	113	126	118	119	82.77	118	118	118	118	82.73	0	0	-2.32	0	0	0	0	52	52	0	0.11499999999999755	0	0	0	0.06	0	79.9	0	1	0	0	0	0.1499999999999999
2.247	2.246666666666665	2.416666666666661	147	173	153	156	87.45	147	173	147	173	89.31	1	2.84	3.88	2.84	0	2.84	0	77	95	17	0.16999999999999638	0	0	0	0.035	0	81.1	0	1	0	0	0	0.43999999999999995
2.687	2.6866666666666648	2.726666666666664	116	132	122	122	83.22	122	122	122	122	83.3	0	0	-5.91	0	0	0	0	56	56	0	0.03999999999999915	0	0	0	0.27	0	79.9	0	1	0	0	0	0.15500000000000025
2.842	2.841666666666665	2.8716666666666644	114	117	116	116	82.33	116	116	116	116	82.37	0	0	-0.79	0	0	0	0	50	50	0	0.02999999999999936	0	0	0	0.115	0	79.1	0	1	0	0	0	0.06499999999999995
2.907	2.906666666666665	2.9366666666666643	91	110	105	103	80.34	105	105	105	105	80.61	0	0	-1.68	0	0	0	0	39	39	0	0.02999999999999936	0	0	0	0.035	0	78	0	1	0	0	0	0.07499999999999973
2.982	2.9816666666666647	3.0466666666666633	106	111	108	108	81.22	108	108	108	108	81.11	0	0	0.54	0	0	0	0	43	43	0	0.06499999999999861	0	0	0	0.045	0	79.6	0	1	0	0	0	0.11500000000000021
3.097	3.096666666666665	3.1616666666666635	125	136	133	132	84.59	133	133	133	133	84.71	0	0	3.65	0	0	0	0	66	66	0	0.06499999999999861	0	0	0	0.05	0	81.3	0	1	0	0	0	0.08499999999999996
3.182	3.181666666666665	3.221666666666664	112	127	125	123	83.38	125	125	125	125	83.6	0	0	-1.06	0	0	0	0	59	59	0	0.03999999999999915	0	0	0	0.02	0	79	0	1	0	0	0	0.11500000000000021
3.297	3.296666666666665	3.3216666666666645	96	102	101	100	79.74	101	101	101	101	80.01	0	0	-3.58	0	0	0	0	35	35	0	0.024999999999999467	0	0	0	0.075	0	77.9	0	1	0	0	0	0.04999999999999982
3.347	3.346666666666665	3.3766666666666643	91	95	94	93	78.57	94	94	94	94	78.68	0	0	-1.22	0	0	0	0	27	27	0	0.02999999999999936	0	0	0	0.025	0	75.5	0	1	0	0	0	0.04999999999999982
3.397	3.3966666666666647	3.4916666666666627	92	94	93	93	78.65	93	93	93	93	78.64	0	0	-0.01	0	0	0	0	26	26	0	0.09499999999999797	0	0	0	0.02	0	75.2	0	1	0	0	0	0.17000000000000037
3.567	3.566666666666665	3.721666666666662	70	114	85	88	77.7	110	84	71	110	81.45	-1	-3.31	2.98	2.85	-6.16	9	0	45	15	-49	0.1549999999999967	0	0	0	0.075	0	79.2	0	1	1	0	0.52	0.1549999999999967
4.242	4.241666666666665	4.3316666666666634	114	129	124	124	83.55	124	124	124	124	83.57	0	0	6.86	0	0	0	0	58	58	0	0.08999999999999808	0	0	0	0.52	0	78.4	0	1	0	1	0	0.14500000000000046
4.387	4.386666666666666	4.466666666666664	108	142	128	127	83.91	142	108	108	142	85.82	-1	-4.71	2.37	0	-4.71	4.71	0	73	43	-31	0.0799999999999983	0	0	0	0.055	0	80.9	0	1	0	0	0	0.17999999999999972
4.567	4.5666666666666655	4.6166666666666645	90	107	101	101	79.96	101	101	101	101	79.93	0	0	-1.13	0	0	0	0	35	35	0	0.049999999999998934	0	0	0	0.1	0	78	0	1	0	0	0	0.14999999999999947
4.717	4.716666666666665	4.751666666666664	135	154	146	145	86.25	146	146	146	146	86.39	0	0	6.49	0	0	0	0	76	76	0	0.034999999999999254	0	0	0	0.1	0	81	0	1	0	0	0	0.13000000000000078
4.847	4.846666666666666	4.891666666666665	128	137	133	133	84.69	133	133	133	133	84.69	0	0	-1.59	0	0	0	0	66	66	0	0.04499999999999904	0	0	0	0.095	0	80	0	1	0	0	0	0.0699999999999994
4.917	4.916666666666665	4.951666666666664	91	115	98	100	79.76	98	98	98	98	79.48	0	0	-5.18	0	0	0	0	32	32	0	0.034999999999999254	0	0	0	0.025	0	76	0	1	0	0	0	0.09500000000000064
5.012	5.011666666666666	5.061666666666665	94	98	95	96	79.03	95	95	95	95	78.93	0	0	-0.45	0	0	0	0	28	28	0	0.049999999999998934	0	0	0	0.06	0	76.1	0	1	0	0	0	0.07499999999999929
5.087	5.086666666666665	5.136666666666664	100	101	101	101	79.93	101	101	101	101	79.92	0	0	1.08	0	0	0	0	35	35	0	0.049999999999998934	0	0	0	0.025	0	77.1	0	1	0	0	0	0.10500000000000043
5.192	5.1916666666666655	5.346666666666662	86	113	109	105	80.6	113	86	86	113	81.87	-1	-4.62	1.97	0	-4.62	4.62	0	48	17	-31	0.1549999999999967	0	0	0	0.055	0	79.8	0	1	0	0	0	0.1899999999999995
5.382	5.381666666666665	5.491666666666663	85	92	86	86	77.21	86	86	86	86	77.15	0	0	0.03	0	0	0	0	17	17	0	0.10999999999999766	0	0	0	0.035	0	73.7	0	1	0	0	0	0.20000000000000018
5.582	5.581666666666665	5.641666666666664	85	101	95	93	78.63	95	95	95	95	78.85	0	0	1.73	0	0	0	0	28	28	0	0.05999999999999872	0	0	0	0.09	0	77.9	0	1	0	0	0	0.1200000000000001
5.702	5.701666666666665	5.736666666666665	100	103	103	101	80.05	103	103	103	103	80.24	0	0	1.4	0	0	0	0	37	37	0	0.034999999999999254	0	0	0	0.06	0	76.4	0	1	0	0	0	0.08000000000000007
5.782	5.781666666666665	5.841666666666664	81	101	93	91	78.21	101	81	81	101	79.94	-1	-3.68	-0.3	0	-3.68	3.68	0	35	11	-25	0.05999999999999872	0	0	0	0.045	0	76	0	1	1	0	0.655	0.05999999999999872
6.497	6.496666666666665	6.561666666666664	116	123	121	121	83.07	121	121	121	121	83.16	0	0	7.09	0	0	0	0	55	55	0	0.06499999999999861	0	0	0	0.655	0	78.2	0	1	0	1	0	0.16500000000000004
6.662	6.661666666666665	6.726666666666664	144	156	154	153	87.11	154	154	154	154	87.28	0	0	4.25	0	0	0	0	82	82	0	0.06499999999999861	0	0	0	0.1	0	81.1	0	1	0	0	0	0.1200000000000001
6.782	6.781666666666665	6.811666666666665	133	159	151	147	86.49	151	151	151	151	86.9	0	0	-0.31	0	0	0	0	80	80	0	0.02999999999999936	0	0	0	0.055	0	80.3	0	1	0	0	0	0.13999999999999968
6.922	6.921666666666665	6.966666666666664	91	98	93	94	78.69	93	93	93	93	78.57	0	0	-8.3	0	0	0	0	26	26	0	0.04499999999999904	0	0	0	0.11	0	77.9	0	1	0	0	0	0.11500000000000021
7.037	7.036666666666665	7.131666666666663	106	114	111	111	81.56	111	111	111	111	81.64	0	0	3.17	0	0	0	0	46	46	0	0.09499999999999797	0	0	0	0.07	0	78.8	0	1	0	0	0	0.14500000000000046
7.182	7.181666666666666	7.206666666666665	101	115	110	110	81.41	110	110	110	110	81.47	0	0	-0.06	0	0	0	0	45	45	0	0.024999999999999467	0	0	0	0.05	0	78	0	1	0	0	0	0.07499999999999929
7.257	7.256666666666665	7.291666666666664	77	102	100	98	79.41	100	100	100	100	79.88	0	0	-1.49	0	0	0	0	34	34	0	0.034999999999999254	0	0	0	0.05	0	77.3	0	1	0	0	0	0.09000000000000075
7.347	7.346666666666666	7.386666666666665	84	89	86	86	77.21	86	86	86	86	77.21	0	0	-2.52	0	0	0	0	17	17	0	0.03999999999999915	0	0	0	0.055	0	73.6	0	1	0	0	0	0.08499999999999996
7.432	7.431666666666666	7.496666666666664	89	91	89	89	77.81	89	89	89	89	77.74	0	0	0.63	0	0	0	0	21	21	0	0.06499999999999861	0	0	0	0.045	0	74.8	0	1	0	0	0	0.20999999999999996
7.642	7.641666666666666	7.761666666666663	90	99	95	95	79.01	95	95	95	95	79.01	0	0	1.3	0	0	0	0	28	28	0	0.11999999999999744	0	0	0	0.145	0	75.3	0	1	0	0	0	0.16500000000000004
7.807	7.806666666666666	7.846666666666665	79	82	82	81	76.23	82	82	82	82	76.43	0	0	-2.4	0	0	0	0	12	12	0	0.03999999999999915	0	0	0	0.045	0	74.3	0	1	0	0	0	0.0649999999999995
7.872	7.871666666666665	7.9066666666666645	72	85	81	79	75.85	81	81	81	81	76.15	0	0	-0.14	0	0	0	0	11	11	0	0.034999999999999254	0	0	0	0.025	0	72	0	1	0	0	0	0.08499999999999996
7.957	7.956666666666665	8.001666666666665	87	89	87	87	77.45	87	87	87	87	77.4	0	0	1.33	0	0	0	0	19	19	0	0.04499999999999993	0	0	0	0.05	0	71.9	0	1	0	0	0	0.11500000000000021
8.072	8.071666666666665	8.171666666666681	85	104	90	91	78.1	90	90	90	90	77.97	0	0	0.66	0	0	0	0	22	22	0	0.10000000000001563	0	0	0	0.07	0	74.2	0	1	0	0	0	0.14000000000000057
8.212	8.211666666666666	8.251666666666672	84	88	86	86	77.29	86	86	86	86	77.18	0	0	-0.72	0	0	0	0	17	17	0	0.04000000000000625	0	0	0	0.04	0	71.6	0	1	1	0	0.86	0.04000000000000625
9.112	9.111666666666666	9.211666666666682	109	129	120	120	82.92	120	120	120	120	82.95	0	0	5.84	0	0	0	0	54	54	0	0.10000000000001563	0	0	0	0.86	0	80.3	0	1	0	1	0	0.25
9.362	9.361666666666666	9.44666666666668	95	104	99	99	79.62	99	99	99	99	79.58	0	0	-3.31	0	0	0	0	33	33	0	0.08500000000001329	0	0	0	0.15	0	76.1	0	1	0	0	0	0.125
9.487	9.486666666666666	9.526666666666673	109	119	117	117	82.45	117	117	117	117	82.54	0	0	2.98	0	0	0	0	51	51	0	0.04000000000000625	0	0	0	0.04	0	80.6	0	1	0	0	0	0.09499999999999886
9.582	9.581666666666665	9.636666666666674	88	92	90	90	77.99	90	90	90	90	78.08	0	0	-4.37	0	0	0	0	22	22	0	0.0550000000000086	0	0	0	0.055	0	75.5	0	1	0	0	0	0.1750000000000007
9.757	9.756666666666666	9.78666666666667	125	136	130	131	84.48	130	130	130	130	84.39	0	0	6.49	0	0	0	0	63	63	0	0.03000000000000469	0	0	0	0.12	0	80.4	0	1	0	0	0	0.08000000000000007
9.837	9.836666666666666	9.876666666666672	95	114	107	106	80.87	107	107	107	107	80.92	0	0	-3.35	0	0	0	0	42	42	0	0.04000000000000625	0	0	0	0.05	0	76.6	0	1	1	0	0.78	0.04000000000000625
10.657	10.656666666666666	10.711666666666675	111	117	113	113	81.97	113	113	113	113	81.92	0	0	1.02	0	0	0	0	48	48	0	0.0550000000000086	0	0	0	0.78	0	78.9	0	1	0	1	0	0.1349999999999998
10.792	10.791666666666666	10.891666666666682	150	157	155	155	87.32	155	155	155	155	87.32	0	0	5.48	0	0	0	0	82	82	0	0.10000000000001563	0	0	0	0.08	0	80.9	0	1	0	0	0	0.16499999999999915
10.957	10.956666666666665	10.99166666666667	131	170	156	153	87.15	156	156	156	156	87.43	0	0	0.12	0	0	0	0	83	83	0	0.03500000000000547	0	0	0	0.065	0	79.1	0	1	0	0	0	0.09500000000000064
11.052	11.051666666666666	11.106666666666674	102	119	115	111	81.68	115	115	115	115	82.16	0	0	-5.27	0	0	0	0	49	49	0	0.0550000000000086	0	0	0	0.06	0	79.5	0	1	0	0	0	0.16000000000000014
11.212	11.211666666666666	11.30166666666668	74	100	92	90	78.08	97	74	74	97	79.36	-1	-3.85	-2.79	0	-3.85	3.85	0	31	1	-30	0.09000000000001407	0	0	0	0.105	0	76.1	0	1	1	0	0.495	0.09000000000001407
11.797	11.796666666666665	11.856666666666674	117	128	126	124	83.57	126	126	126	126	83.75	0	0	9.24	0	0	0	0	60	60	0	0.06000000000000938	0	0	0	0.495	0	81	0	1	0	1	0	0.16999999999999993
11.967	11.966666666666665	12.031666666666675	147	162	155	154	87.3	155	155	155	155	87.32	0	0	3.59	0	0	0	0	82	82	0	0.06500000000001016	0	0	0	0.11	0	81.6	0	1	0	0	0	0.11000000000000121
12.077	12.076666666666666	12.246666666666693	100	148	126	125	83.63	148	100	100	148	86.6	-1	-6.71	-0.71	0	-6.71	6.71	0	77	34	-44	0.17000000000002657	0	0	0	0.045	0	82	0	1	0	0	0	0.28999999999999915
12.367	12.366666666666665	12.426666666666675	101	106	104	103	80.38	104	104	104	104	80.44	0	0	0.72	0	0	0	0	38	38	0	0.06000000000000938	0	0	0	0.12	0	77.7	0	1	0	0	0	0.23000000000000043
12.597	12.596666666666666	12.646666666666674	88	95	94	93	78.64	94	94	94	94	78.68	0	0	-1.72	0	0	0	0	27	27	0	0.050000000000007816	0	0	0	0.17	0	76.1	0	1	0	0	0	0.1999999999999993
12.797	12.796666666666665	12.851666666666674	105	115	110	110	81.43	110	110	110	110	81.45	0	0	2.8	0	0	0	0	45	45	0	0.0550000000000086	0	0	0	0.15	0	79.2	0	1	0	0	0	0.14000000000000057
12.937	12.936666666666666	12.991666666666674	96	109	104	104	80.45	104	104	104	104	80.5	0	0	-0.87	0	0	0	0	38	38	0	0.0550000000000086	0	0	0	0.085	0	77.8	0	1	0	0	0	0.1349999999999998
13.072	13.071666666666665	13.126666666666674	88	97	92	92	78.38	92	92	92	92	78.31	0	0	-2.09	0	0	0	0	25	25	0	0.0550000000000086	0	0	0	0.08	0	75.8	0	1	0	0	0	0.17999999999999972
13.252	13.251666666666665	13.311666666666675	91	99	92	93	78.5	92	92	92	92	78.29	0	0	0.01	0	0	0	0	25	25	0	0.06000000000000938	0	0	0	0.125	0	76.3	0	1	0	0	0	0.11000000000000121
13.362	13.361666666666666	13.416666666666675	97	107	102	103	80.27	102	102	102	102	80.21	0	0	1.93	0	0	0	0	36	36	0	0.0550000000000086	0	0	0	0.05	0	77.6	0	1	0	0	0	0.14999999999999858
13.512	13.511666666666665	13.54666666666667	87	93	87	88	77.64	87	87	87	87	77.5	0	0	-2.57	0	0	0	0	19	19	0	0.03500000000000547	0	0	0	0.095	0	73.4	0	1	0	0	0	0.2350000000000012
13.747	13.746666666666666	13.791666666666673	85	101	85	89	77.89	85	85	85	85	77.08	0	0	-0.23	0	0	0	0	16	16	0	0.045000000000007034	0	0	0	0.2	0	74.9	0	1	1	0	0.84	0.045000000000007034
14.632	14.631666666666666	14.701666666666677	89	96	93	93	78.55	93	93	93	93	78.49	0	0	1.58	0	0	0	0	26	26	0	0.07000000000001094	0	0	0	0.84	0	76.4	0	1	0	1	0	0.16000000000000014
14.792	14.791666666666666	14.896666666666682	147	225	218	197	91.5	147	225	147	225	93.82	1	7.2	7.93	7.2	0	7.2	0	77	100	46	0.10500000000001641	0	0	0	0.09	0	79.9	0	1	1	0	0.68	0.10500000000001641
15.577	15.576666666666666	15.646666666666677	128	136	130	130	84.33	130	130	130	130	84.3	0	0	-9.46	0	0	0	0	63	63	0	0.07000000000001094	0	0	0	0.68	0	78.1	0	1	0	1	0	0.09499999999999886
15.672	15.671666666666665	15.696666666666669	139	140	139	139	85.47	139	139	139	139	85.46	0	0	1.2	0	0	0	0	70	70	0	0.025000000000003908	0	0	0	0.025	0	80.5	0	1	0	0	0	0.08000000000000007
15.752	15.751666666666665	15.836666666666678	152	167	165	164	88.37	165	165	165	165	88.41	0	0	2.98	0	0	0	0	89	89	0	0.08500000000001329	0	0	0	0.055	0	80.7	0	1	0	0	0	0.14000000000000057
15.892	15.891666666666666	15.926666666666671	150	171	162	161	88.05	162	162	162	162	88.18	0	0	-0.21	0	0	0	0	87	87	0	0.03500000000000547	0	0	0	0.055	0	79.9	0	1	0	0	0	0.10999999999999943
16.002	16.001666666666665	16.091666666666647	125	145	127	128	84.06	127	127	127	127	83.92	0	0	-4.16	0	0	0	0	60	60	0	0.0899999999999821	0	0	0	0.075	0	77.8	0	1	0	0	0	0.129999999999999
16.132	16.131666666666664	16.20666666666665	115	122	119	119	82.77	119	119	119	119	82.75	0	0	-1.11	0	0	0	0	53	53	0	0.07499999999998508	0	0	0	0.04	0	78.9	0	1	0	0	0	0.20000000000000284
16.332	16.331666666666667	16.486666666666636	91	107	101	100	79.88	101	101	101	101	80.06	0	0	-2.68	0	0	0	0	35	35	0	0.15499999999996916	0	0	0	0.125	0	77.1	0	1	0	0	0	0.23499999999999588
16.567	16.566666666666663	16.606666666666655	85	94	93	91	78.25	93	93	93	93	78.58	0	0	-1.32	0	0	0	0	26	26	0	0.03999999999999204	0	0	0	0.08	0	75.1	0	1	0	0	0	0.12500000000000355
16.692	16.691666666666666	16.756666666666653	92	115	106	105	80.6	106	106	106	106	80.86	0	0	2.39	0	0	0	0	40	40	0	0.06499999999998707	0	0	0	0.085	0	78.7	0	1	0	0	0	0.24499999999999744
16.937	16.936666666666664	16.996666666666652	85	117	103	102	80.09	103	103	103	103	80.3	0	0	-0.43	0	0	0	0	37	37	0	0.05999999999998806	0	0	0	0.18	0	76.1	0	1	0	0	0	0.1700000000000017
17.107	17.106666666666666	17.161666666666655	54	67	62	61	71.28	62	62	62	62	71.65	0	0	-8.59	0	0	0	0	0	0	0	0.05499999999998906	0	0	0	0.11	0	65.8	0	1	0	0	0	0.3500000000000014
17.457	17.456666666666667	17.516666666666655	102	117	113	111	81.68	113	113	113	113	81.94	0	0	10.49	0	0	0	0	48	48	0	0.05999999999998806	0	0	0	0.295	0	80.2	0	1	0	0	0	0.14499999999999957
17.602	17.601666666666667	17.696666666666648	123	149	141	140	85.59	141	141	141	141	85.79	0	0	3.95	0	0	0	0	72	72	0	0.0949999999999811	0	0	0	0.085	0	80.3	0	1	0	0	0	0.21000000000000085
17.812	17.811666666666667	17.85166666666666	109	121	119	118	82.62	119	119	119	119	82.87	0	0	-2.81	0	0	0	0	53	53	0	0.03999999999999204	0	0	0	0.115	0	72.8	0	1	0	0	0	0.08999999999999986
17.902	17.901666666666667	17.94166666666666	92	100	94	95	78.92	94	94	94	94	78.81	0	0	-3.93	0	0	0	0	27	27	0	0.03999999999999204	0	0	0	0.05	0	76.5	0	1	0	0	0	0.14499999999999602
18.047	18.046666666666663	18.06666666666666	84	87	86	86	77.18	86	86	86	86	77.29	0	0	-1.36	0	0	0	0	17	17	0	0.01999999999999602	0	0	0	0.105	0	73	0	1	0	0	0	0.120000000000001
18.167	18.166666666666664	18.211666666666655	88	95	93	92	78.28	93	93	93	93	78.56	0	0	1.44	0	0	0	0	26	26	0	0.04499999999999105	0	0	0	0.1	0	74.9	0	1	0	0	0	0.10500000000000043
18.272	18.271666666666665	18.34666666666665	81	90	83	84	76.75	83	83	83	83	76.59	0	0	-1.88	0	0	0	0	14	14	0	0.07499999999998508	0	0	0	0.06	0	73.5	0	1	0	0	0	0.22000000000000242
